id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,genres,production_companies,production_countries,spoken_languages,directors,writers,averageRating,numVotes																																
68721,Iron Man 3,6.928,21064,Released,2013-04-18,1215577205,130,200000000,en,Iron Man 3,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin| he starts an odyssey of rebuilding and retribution.,61.06,Action,Marvel Studios,United States of America,English,Shane Black,Drew Pearce,7.1,915990																																
284054,Black Panther,7.39,21053,Released,2018-02-13,1349926083,135,200000000,en,Black Panther,King T'Challa returns home to the reclusive| technologically advanced African nation of Wakanda to serve as his country's new leader. However| T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings| T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia| the queen-mother| his princess-kid sister| members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent| to prevent Wakanda from being dragged into a world war.,43.665,Action,Marvel Studios,United States of America,English,Ryan Coogler,Ryan Coogler,7.3,855805																																
284052,Doctor Strange,7.427,20935,Released,2016-10-25,676343174,115,180000000,en,Doctor Strange,After his career is destroyed| a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.,70.535,Action,Marvel Studios,United States of America,English,Scott Derrickson,Jon Spaihts,7.5,824920																																
76341,Mad Max: Fury Road,7.582,20911,Released,2015-05-13,378858340,121,150000000,en,Mad Max: Fury Road,An apocalyptic story set in the furthest reaches of our planet| in a stark desert landscape where humanity is broken| and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.,78.319,Action,Kennedy Miller Productions,Australia,English,George Miller,George Miller,8.1,1138305																																
16869,Inglourious Basterds,8.215,20746,Released,2009-08-19,321457747,153,70000000,en,Inglourious Basterds,"In Nazi-occupied France during World War II| a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds| lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",59.162,Drama,The Weinstein Company,France,German,Quentin Tarantino,Quentin Tarantino,8.4,1630936																																
70160,The Hunger Games,7.193,20636,Released,2012-03-12,694394724,142,75000000,en,The Hunger Games,Every year in the ruins of what was once North America| the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment| part government intimidation tactic| the Hunger Games are a nationally televised event in which â€œTributesâ€ must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives| Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If sheâ€™s ever to return home to District 12| Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.,29.577,Science Fiction,Lionsgate,United States of America,English,Gary Ross,Gary Ross,7.2,1023590																																
315635,Spider-Man: Homecoming,7.345,20507,Released,2017-07-05,880166924,133,175000000,en,Spider-Man: Homecoming,Following the events of Captain America: Civil War| Peter Parker| with the help of his mentor Tony Stark| tries to balance his life as an ordinary high school student in Queens| New York City| with fighting crime as his superhero alter ego Spider-Man as a new threat| the Vulture| emerges.,65.88,Action,Marvel Studios,United States of America,English,Jon Watts,Jonathan Goldstein,7.4,739088																																
672,Harry Potter and the Chamber of Secrets,7.721,20390,Released,2002-11-13,876688482,161,100000000,en,Harry Potter and the Chamber of Secrets,Cars fly| trees fight back| and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry| Ron and Hermioneâ€™s magical abilities and courage.,121.699,Adventure,Warner Bros. Pictures,United Kingdom,English,Chris Columbus,J.K. Rowling,7.4,710265																																
283995,Guardians of the Galaxy Vol. 2,7.624,20353,Released,2017-04-19,863756051,137,200000000,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,67.553,Science Fiction,Marvel Studios,United States of America,English,James Gunn,James Gunn,7.6,777773																																
121,The Lord of the Rings: The Two Towers,8.385,20274,Released,2002-12-18,926287400,179,79000000,en,The Lord of the Rings: The Two Towers,Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli| Legolas and Aragorn search for the orc-captured Merry and Pippin. All along| nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.,78.73,Adventure,New Line Cinema,New Zealand,English,Peter Jackson,J.R.R. Tolkien,8.8,1830336																																
1771,Captain America: The First Avenger,6.995,20269,Released,2011-07-22,370569774,124,140000000,en,Captain America: The First Avenger,During World War II| Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull â€“ Adolf Hitler's ruthless head of weaponry| and the leader of an organization that intends to use a mysterious device of untold powers for world domination.,43.665,Action,Marvel Studios,United States of America,French,Joe Johnston,Christopher Markus,6.9,914509																																
297761,Suicide Squad,5.909,20097,Released,2016-08-03,746846894,123,175000000,en,Suicide Squad,From DC Comics comes the Suicide Squad| an antihero team of incarcerated supervillains who act as deniable assets for the United States government| undertaking high-risk black ops missions in exchange for commuted prison sentences.,35.356,Action,DC Entertainment,United States of America,English,David Ayer,David Ayer,5.9,732737																																
673,Harry Potter and the Prisoner of Azkaban,8.02,20038,Released,2004-05-31,789804554,141,130000000,en,Harry Potter and the Prisoner of Azkaban,Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff| transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school| an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls| and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.,124.386,Adventure,Warner Bros. Pictures,United Kingdom,English,Alfonso CuarÃ³n,J.K. Rowling,7.9,710325																																
10195,Thor,6.768,20023,Released,2011-04-21,449326618,115,150000000,en,Thor,Against his father Odin's will| The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here| Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.,51.277,Adventure,Marvel Studios,United States of America,English,Kenneth Branagh,Ashley E. Miller,7.0,916898																																
10138,Iron Man 2,6.835,19756,Released,2010-04-28,623933331,124,200000000,en,Iron Man 2,With the world now aware of his dual life as the armored superhero Iron Man| billionaire inventor Tony Stark faces pressure from the government| the press and the public to share his technology with the military. Unwilling to let go of his invention| Stark| with Pepper Potts and James 'Rhodey' Rhodes at his side| must forge new alliances â€“ and confront powerful enemies.,84.445,Adventure,Marvel Studios,United States of America,English,Jon Favreau,Justin Theroux,6.9,886188																																
272,Batman Begins,7.701,19561,Released,2005-06-10,374218673,140,150000000,en,Batman Begins,Driven by tragedy| billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home| Gotham City.  Unable to work within the system| he instead creates a new identity| a symbol of fear for the criminal underworld - The Batman.,66.286,Action,Warner Bros. Pictures,United Kingdom,English,Christopher Nolan,Bob Kane,8.2,1613635																																
284053,Thor: Ragnarok,7.595,19539,Released,2017-10-02,855301806,131,180000000,en,Thor: Ragnarok,Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok| the destruction of his home-world and the end of Asgardian civilization| at the hands of a powerful new threat| the ruthless Hela.,45.2,Action,Marvel Studios,United States of America,English,Taika Waititi,Eric Pearson,7.9,836444																																
150540,Inside Out,7.922,19463,Released,2015-06-09,857611174,95,175000000,en,Inside Out,Growing up can be a bumpy road| and it's no exception for Riley| who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotionsâ€” Joy| Fear| Anger| Disgust and Sadnessâ€”live in Headquarters| the control centre inside Riley's mind| where they help advise her through everyday life and tries to keep things positive| but the emotions conflict on how best to navigate a new city| house and school.,107.292,Animation,Pixar,United States of America,English,Pete Docter,Pete Docter,8.1,840057																																
135397,Jurassic World,6.682,19414,Released,2015-06-06,1671537444,124,150000000,en,Jurassic World,Twenty-two years after the events of Jurassic Park| Isla Nublar now features a fully functioning dinosaur theme park| Jurassic World| as originally envisioned by John Hammond.,54.089,Action,Amblin Entertainment,United States of America,English,Colin Trevorrow,Rick Jaffa,6.9,690927																																
807,Se7en,8.368,19403,Released,1995-09-22,327311859,127,33000000,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind| while his novice partner| Mills| scoffs at his efforts to unravel the case.",53.521,Crime,New Line Cinema,United States of America,English,David Fincher,Andrew Kevin Walker,8.6,1853577																																
674,Harry Potter and the Goblet of Fire,7.816,19287,Released,2005-11-16,895921036,157,150000000,en,Harry Potter and the Goblet of Fire,When Harry Potter's name emerges from the Goblet of Fire| he becomes a competitor in a grueling battle for glory among three wizarding schoolsâ€”the Triwizard Tournament. But since Harry never submitted his name for the Tournament| who did? Now Harry must confront a deadly dragon| fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.,134.276,Adventure,Warner Bros. Pictures,United Kingdom,English,Mike Newell,Steve Kloves,7.7,698845																																
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,Released,2003-07-09,655011224,143,140000000,en,Pirates of the Caribbean: The Curse of the Black Pearl,Jack Sparrow| a freewheeling 18th-century pirate| quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped| Sparrow decides to help the girl's love save her.,80.509,Adventure,Walt Disney Pictures,United States of America,English,Gore Verbinski,Ted Elliott,8.1,1238754																																
12445,Harry Potter and the Deathly Hallows: Part 2,8.105,19183,Released,2011-07-12,1341511219,130,125000000,en,Harry Potter and the Deathly Hallows: Part 2,Harry| Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards| Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.,110.974,Fantasy,Warner Bros. Pictures,United Kingdom,English,David Yates,Steve Kloves,8.1,971826																																
11,Star Wars,8.204,19155,Released,1977-05-25,775398007,121,11000000,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,88.559,Adventure,Lucasfilm Ltd.,United States of America,English,George Lucas,George Lucas,8.6,1479695																																
297762,Wonder Woman,7.236,18954,Released,2017-05-30,822854286,141,149000000,en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,54.628,Action,Atlas Entertainment,United States of America,German,Patty Jenkins,Allan Heinberg,7.3,709740																																
14160,Up,7.949,18857,Released,2009-05-28,735099082,96,175000000,en,Up,Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78| life seems to have passed him by| until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.,90.968,Animation,Pixar,United States of America,English,Pete Docter,Pete Docter,8.3,1154194																																
102899,Ant-Man,7.082,18730,Released,2015-07-14,519311965,117,130000000,en,Ant-Man,Armed with the astonishing ability to shrink in scale but increase in strength| master thief Scott Lang must embrace his inner-hero and help his mentor| Doctor Hank Pym| protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles| Pym and Lang must plan and pull off a heist that will save the world.,37.692,Science Fiction,Marvel Studios,United States of America,English,Peyton Reed,Edgar Wright,7.2,737205																																
238,The Godfather,8.707,18677,Released,1972-03-14,245066411,175,6000000,en,The Godfather,Spanning the years 1945 to 1955| a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch| Vito Corleone barely survives an attempt on his life| his youngest son| Michael steps in to take care of the would-be killers| launching a campaign of bloody revenge.,158.448,Drama,Paramount,United States of America,English,Francis Ford Coppola,Mario Puzo,9.2,2068009																																
286217,The Martian,7.678,18525,Released,2015-09-30,630600000,141,108000000,en,The Martian,During a manned mission to Mars| Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies| he must draw upon his ingenuity| wit and spirit to subsist and find a way to signal to Earth that he is alive.,76.0,Drama,Scott Free Productions,United Kingdom,English,Ridley Scott,Drew Goddard,8.0,948612																																
105,Back to the Future,8.314,18442,Released,1985-07-03,381109762,116,19000000,en,Back to the Future,Eighties teenager Marty McFly is accidentally sent back in time to 1955| inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.,62.543,Adventure,Universal Pictures,United States of America,English,Robert Zemeckis,Robert Zemeckis,8.5,1343743																																
140607,Star Wars: The Force Awakens,7.293,18352,Released,2015-12-15,2068223624,136,245000000,en,Star Wars: The Force Awakens,Thirty years after defeating the Galactic Empire| Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.,66.772,Adventure,Lucasfilm Ltd.,United States of America,English,J.J. Abrams,Lawrence Kasdan,7.8,987414																																
634649,Spider-Man: No Way Home,7.99,18299,Released,2021-12-15,1921847111,148,200000000,en,Spider-Man: No Way Home,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous| forcing him to discover what it truly means to be Spider-Man.,186.065,Action,Marvel Studios,United States of America,English,Jon Watts,Chris McKenna,8.2,915874																																
675,Harry Potter and the Order of the Phoenix,7.686,18177,Released,2007-07-08,938212738,138,150000000,en,Harry Potter and the Order of the Phoenix,Returning for his fifth year of study at Hogwarts| Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice| Harry takes matters into his own hands| training a small group of students to defend themselves against the dark arts.,117.168,Adventure,Warner Bros. Pictures,United Kingdom,English,David Yates,Michael Goldenberg,7.5,649467																																
767,Harry Potter and the Half-Blood Prince,7.697,18127,Released,2009-07-15,933959197,153,250000000,en,Harry Potter and the Half-Blood Prince,As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds| Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle| but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end| Dumbledore recruits his old friend and colleague Horace Slughorn| whom he believes holds crucial information. Even as the decisive showdown looms| romance blossoms for Harry| Ron| Hermione and their classmates. Love is in the air| but danger lies ahead and Hogwarts may never be the same again.,121.735,Adventure,Warner Bros. Pictures,United Kingdom,English,David Yates,Steve Kloves,7.6,611304																																
263115,Logan,7.8,18116,Released,2017-02-28,619021436,137,97000000,en,Logan,In the near future| a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives| pursued by dark forces.,54.194,Action,Hutch Parker Entertainment,United States of America,English,James Mangold,James Mangold,8.1,867825																																
12,Finding Nemo,7.824,18061,Released,2003-05-30,940335536,100,94000000,en,Finding Nemo,Nemo| an adventurous young clownfish| is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks| surfer dude turtles| hypnotic jellyfish| hungry seagulls| and more along the way.,55.456,Animation,Pixar,United States of America,English,Andrew Stanton,Andrew Stanton,8.2,1136708																																
346364,It,7.242,18018,Released,2017-09-06,701800000,135,40000000,en,It,In a small town in Maine| seven children known as The Losers Club come face to face with life problems| bullies and a monster that takes the shape of a clown called Pennywise.,74.73,Horror,New Line Cinema,United States of America,English,Andy Muschietti,Chase Palmer,7.3,628780																																
245891,John Wick,7.421,17923,Released,2014-10-22,88761661,101,20000000,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,55.739,Action,87Eleven,United States of America,Hungarian,Chad Stahelski,Derek Kolstad,7.4,759693																																
259316,Fantastic Beasts and Where to Find Them,7.334,17892,Released,2016-11-16,809342332,132,180000000,en,Fantastic Beasts and Where to Find Them,In 1926| Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase| which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase| it sends the American wizarding authorities after Newt| and threatens to strain even further the state of magical and non-magical relations.,46.103,Fantasy,Heyday Films,United Kingdom,English,David Yates,J.K. Rowling,7.2,516608																																
12444,Harry Potter and the Deathly Hallows: Part 1,7.763,17782,Released,2010-11-17,954305868,146,250000000,en,Harry Potter and the Deathly Hallows: Part 1,Harry| Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes| putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose| the world is more dangerous than ever.,111.984,Adventure,Warner Bros. Pictures,United Kingdom,English,David Yates,Steve Kloves,7.7,614910																																
