Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
27/04/2020;Ouganda;79;0;47;0.00;59.49;40.51
27/04/2020;États-Unis;988197;56259;111424;5.69;11.28;83.03
27/04/2020;Uruguay;620;15;386;2.42;62.26;35.32
27/04/2020;Ouzbékistan;1904;8;892;0.42;46.85;52.73
27/04/2020;Vatican;9;0;2;0.00;22.22;77.78
27/04/2020;St-Vincent / Grenadines;15;0;8;0.00;53.33;46.67
27/04/2020;Venezuela;329;10;142;3.04;43.16;53.80
27/04/2020;Viet Nam;270;0;225;0.00;83.33;16.67
27/04/2020;Kosovo;510;12;93;2.35;18.24;79.41
27/04/2020;Mayotte;401;4;144;1.00;35.91;63.09
27/04/2020;Yémen;1;0;1;0.00;100.00;0.00
27/04/2020;Afrique du Sud;4793;90;1473;1.88;30.73;67.39
27/04/2020;Zambie;88;3;42;3.41;47.73;48.86
27/04/2020;Zimbabwe;32;4;5;12.50;15.63;71.88
27/04/2020;Autres;721;15;645;2.08;89.46;8.46
26/04/2020;Autres;721;15;645;2.08;89.46;8.46
26/04/2020;Zimbabwe;31;4;2;12.90;6.45;80.65
26/04/2020;Zambie;88;3;42;3.41;47.73;48.86
26/04/2020;Afrique du Sud;4546;87;1473;1.91;32.40;65.68
26/04/2020;Yémen;1;0;1;0.00;100.00;0.00
26/04/2020;Mayotte;401;4;144;1.00;35.91;63.09
26/04/2020;Kosovo;510;12;93;2.35;18.24;79.41
26/04/2020;Viet Nam;270;0;225;0.00;83.33;16.67
26/04/2020;Venezuela;325;10;137;3.08;42.15;54.77
26/04/2020;St-Vincent / Grenadines;14;0;5;0.00;35.71;64.29
26/04/2020;Vatican;9;0;2;0.00;22.22;77.78
26/04/2020;Ouzbékistan;1869;8;789;0.43;42.22;57.36
26/04/2020;Uruguay;606;15;375;2.48;61.88;35.64
26/04/2020;États-Unis;965783;54881;106988;5.68;11.08;83.24
26/04/2020;Ouganda;79;0;46;0.00;58.23;41.77
26/04/2020;Ukraine;8617;209;840;2.43;9.75;87.83
26/04/2020;Tanzanie;299;10;48;3.34;16.05;80.60
26/04/2020;Taïwan;429;6;281;1.40;65.50;33.10
26/04/2020;Trinité-et-Tobago;115;8;54;6.96;46.96;46.09
26/04/2020;Turquie;110130;2805;29140;2.55;26.46;70.99
26/04/2020;Tunisie;949;38;216;4.00;22.76;73.23
26/04/2020;Timor-Leste;24;0;2;0.00;8.33;91.67
26/04/2020;Thaïlande;2922;51;2594;1.75;88.77;9.48
26/04/2020;Togo;98;6;62;6.12;63.27;30.61
26/04/2020;Tchad;46;0;15;0.00;32.61;67.39
26/04/2020;Eswatini;59;1;10;1.69;16.95;81.36
26/04/2020;Syrie;43;3;14;6.98;32.56;60.47
26/04/2020;El Salvador;298;8;83;2.68;27.85;69.46
26/04/2020;Sao Tomé-et-Principe;4;0;0;0.00;0.00;100.00
26/04/2020;Soudan du sud;6;0;0;0.00;0.00;100.00
26/04/2020;Suriname;10;1;7;10.00;70.00;20.00
26/04/2020;Somalie;436;23;10;5.28;2.29;92.43
26/04/2020;Sénégal;671;9;283;1.34;42.18;56.48
26/04/2020;Saint-Marin;538;41;64;7.62;11.90;80.48
26/04/2020;Sierra Leone;93;4;10;4.30;10.75;84.95
26/04/2020;Slovénie;1396;82;221;5.87;15.83;78.30
26/04/2020;Slovaquie;1379;18;394;1.31;28.57;70.12
26/04/2020;Singapour;13624;12;1060;0.09;7.78;92.13
26/04/2020;Suède;18640;2194;1005;11.77;5.39;82.84
26/04/2020;Soudan;237;21;20;8.86;8.44;82.70
26/04/2020;Seychelles;11;0;6;0.00;54.55;45.45
26/04/2020;Arabie Saoudite;17522;139;2357;0.79;13.45;85.76
26/04/2020;Rwanda;191;0;92;0.00;48.17;51.83
26/04/2020;Fédération de Russie;80949;747;6767;0.92;8.36;90.72
26/04/2020;Serbie;6630;125;870;1.89;13.12;84.99
26/04/2020;Roumanie;11036;619;3054;5.61;27.67;66.72
26/04/2020;Réunion;417;0;300;0.00;71.94;28.06
26/04/2020;Qatar;10287;10;1012;0.10;9.84;90.07
26/04/2020;Paraguay;228;9;85;3.95;37.28;58.77
26/04/2020;Portugal;23864;903;1329;3.78;5.57;90.65
26/04/2020;Palestine;342;2;83;0.58;24.27;75.15
26/04/2020;Pakistan;13328;281;2936;2.11;22.03;75.86
26/04/2020;Pologne;11617;535;2265;4.61;19.50;75.90
26/04/2020;Philippines;7579;501;862;6.61;11.37;82.02
26/04/2020;Papouasie-Nouvelle-Guinée;8;0;0;0.00;0.00;100.00
26/04/2020;Polynésie Française;57;0;41;0.00;71.93;28.07
26/04/2020;Pérou;27517;728;8088;2.65;29.39;67.96
26/04/2020;Panama;5779;165;338;2.86;5.85;91.30
