"id","title","vote_average","vote_count","status","release_date","revenue","runtime","budget","imdb_id","original_language","original_title","overview","popularity","tagline","genres","production_companies","production_countries","spoken_languages","cast","director","director_of_photography","writers","producers","music_composer","imdb_rating","imdb_votes","poster_path"
"603","The Matrix","8.218","25596.0","Released","1999-03-31","463517383.0","136.0","63000000.0","tt0133093","en","The Matrix","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","86.975","The fight for the future begins.","Action, Science Fiction","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures","United States of America","English","Anthony Ray Parker, Marc Aden Gray, Deni Gordon, Tamara Brown, Nigel Harbach, Natalie Tjen, Julian Arahanga, Robert Simper, Lawrence Woodward, Michael Butcher, Keanu Reeves, Gloria Foster, Belinda McClory, Adryn White, Joe Pantoliano, Paul Goddard, David Aston, Ada Nicodemou, Bill Young, David O'Connor, Bernard Ledger, Matt Doran, Jeremy Ball, Hugo Weaving, Chris Pattinson, Rowan Witt, Carrie-Anne Moss, Eleanor Witt, Luke Quinton, Laurence Fishburne, Fiona Johnson, Marcus Chong, Robert Taylor, Janaya Pender, Steve Dodd, Harry Lawrence","Lana Wachowski, Lilly Wachowski","Bill Pope","Lana Wachowski, Lilly Wachowski","Bruce Berman, Erwin Stoff, Barrie M. Osborne, Lana Wachowski, Andrew Mason, Lilly Wachowski, Joel Silver","Don Davis","8.7","2105233.0","/p96dm7sCMn4VYAStA6siNz30G1r.jpg"
"604","The Matrix Reloaded","7.053","10903.0","Released","2003-05-15","738599701.0","138.0","150000000.0","tt0234215","en","The Matrix Reloaded","Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.","63.046","Free your mind.","Adventure, Action, Thriller, Science Fiction","Village Roadshow Pictures, Silver Pictures, NPV Entertainment","United States of America","English, Français","Shane C. Rodrigo, Chris Mitchell, Tony Lynch, David Franklin, Don Battee, Frankie Stevens, Steve Vella, Kevin Scott, Rene Naufahu, Neil Rayment, Rupert Reid, Hugo Weaving, Harold Perrineau, Genevieve O'Reilly, Socratis Otto, Liliana Bogatko, Nicandro Thomas, Leigh Whannell, Montaño Rain, Joshua Mbakwe, Daniel Bernhardt, Bernard White, Adrian Rayment, Nathaniel Lees, Robert Mammone, Peter Lamb, Andy Arness, Noris Campos, Harry Lennix, Michael Budd, Anthony Brandon Wong, Nick Scoggin, Stoney Burke, Tory Mussett, Nona Gaye, Steve Morris, Lachy Hulme, David Leitch, Tiger Chen Hu, Scott McLean, Valerie Berry, Andrew Valli, Clayton Watson, Cornel West, Keanu Reeves, Roy Jones Jr., Malcolm Kennard, Terrell Dixon, Nash Edgerton, David Roberts, Christine Anu, Marcus Young, Carrie-Anne Moss, John Walton, Randall Duk Kim, Gina Torres, Monica Bellucci, Marlene Cummins, Ian Bliss, Josephine Byrnes, Daryl Heath, David Kilde, Anthony Zerbe, Christopher Kirby, David Will No, Paul Cotter, Gloria Foster, Lambert Wilson, Attila Davidhazy, Ray Anthony, Robyn Nevin, Tahei Simpson, Helmut Bakaitis, Kelly Butler, Jada Pinkett Smith, Matt McColm, Laurence Fishburne, Essie Davis, Austin Galuppo, Alima Ashton-Sheibu, Collin Chou, Steve Bastoni","Lana Wachowski, Lilly Wachowski","Bill Pope","Lana Wachowski, Lilly Wachowski","Bruce Berman, Lana Wachowski, Grant Hill, Andrew Mason, Lilly Wachowski, Joel Silver","Don Davis","7.2","642324.0","/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg"
"605","The Matrix Revolutions","6.728","9829.0","Released","2003-11-05","424988211.0","129.0","150000000.0","tt0242653","en","The Matrix Revolutions","The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.","44.218","Everything that has a beginning has an end.","Adventure, Action, Thriller, Science Fiction","Village Roadshow Pictures, NPV Entertainment, Silver Pictures","United States of America","English, Français","Maurice Morgan, Tharini Mudaliar, Clayton Watson, Kittrick Redmond, Richard Sydenham, Anthony Zerbe, Christopher Kirby, Nathaniel Lees, Dion Horstmans, Robert Mammone, Bernard White, Peter Lamb, Rachel Blackman, Cornel West, David Bowers, Keanu Reeves, Tanveer K. Atwal, Henry Blasingame, Joe Manning, Lambert Wilson, Harry Lennix, Bruce Spence, Rene Naufahu, Robyn Nevin, Roy Jones Jr., Helmut Bakaitis, Kate Beahan, David Roberts, Anthony Brandon Wong, Rupert Reid, Hugo Weaving, Kevin Michael Richardson, Jada Pinkett Smith, Harold Perrineau, Carrie-Anne Moss, Mary Alice, Laurence Fishburne, Nona Gaye, Genevieve O'Reilly, Essie Davis, Che Timmins, Gina Torres, Matt Castelli, Francine Bell, Lachy Hulme, Monica Bellucci, Collin Chou, Ian Bliss","Lana Wachowski, Lilly Wachowski","Bill Pope","Lana Wachowski, Lilly Wachowski","Bruce Berman, Lana Wachowski, Grant Hill, Andrew Mason, Lilly Wachowski, Joel Silver","Don Davis","6.7","552864.0","/tyXwreXv4pfo4T4aplTKIp7f9GI.jpg"
"606","Out of Africa","7.175","1341.0","Released","1985-12-20","227514205.0","161.0","31000000.0","tt0089755","en","Out of Africa","Tells the life story of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on her 1937 autobiographical novel.","21.813","Based on a true story.","History, Romance, Drama","Universal Pictures, Mirage Entertainment, Mirage Enterprises","United States of America","English, Kiswahili","Rachel Kempson, Shane Rimmer, Malick Bowens, Keith Pearson, Sbish Trzebinski, Suzanna Hamilton, Ann Palmer, Benny Young, Muriel Gross, Meryl Streep, Michael Gough, Joseph Thiaka, Robert Redford, Peter Strong, Tristram Jellinek, Stephen B. Grimes, Graham Crowden, Mike Bugara, Donal McCann, Niven Boyd, Stephen Kinyanjui, Job Seda, Michael Kitchen, Abdulla Sunado, Iman, Annabel Maule, Leslie Phillips, Mohammed Umar, Klaus Maria Brandauer, Kenneth Mason, Amanda Parkin, Allaudin Qureshi","Sydney Pollack","David Watkin","Kurt Luedtke, Karen Blixen, Errol Trzebinski, Judith Thurman","Sydney Pollack, Kim Jorgensen","John Barry","7.1","87954.0","/3eLAm1kuVD5QZCOydbiu7j6GAbw.jpg"
"607","Men in Black","7.2","13684.0","Released","1997-07-02","589400000.0","98.0","90000000.0","tt0119654","en","Men in Black","After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.","69.278","Protecting the Earth from the scum of the universe.","Action, Adventure, Comedy, Science Fiction","Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions","United States of America","English, Español","Karen Lynn Gorney, Charles C. Stevenson Jr., Fred Newman, Linda Fiorentino, Danny DeVito, John Alexander, Ken Thorley, Eliot Sash, Newt Gingrich, Peter Linari, Thom Fountain, Chloe Sonnenfeld, Brad Abrell, Tony Shalhoub, Richard Hamilton, Michael Goldfinger, Jon Gries, Sean Plummer, Drew Massey, George Lucas, Kent Faulcon, Patricia McPherson, Mike Nussbaum, Bernard Gilkey, Richard Arthur, Lowell Cunningham, Tommy Lee Jones, Joe Paparone, Alpheus Merchant, Mykal Wayne Williams, Steven Spielberg, Becky Ann Baker, Isaac Mizrahi, Andy Prosky, David Cross, Adrian Lee, Tim Blaney, Rip Torn, Sergio Calderón, Patrick Breen, Harsh Nayyar, Debbie Lee Carrington, Mark Setrakian, Will Smith, Vincent D'Onofrio, Fredric Lehne, Michael Willis, Boris Leskin, Steve Rankin, Michael Kaliski, Keith Campbell, Carl J. Johnson, Christina Benitan, Al Roker, Sylvester Stallone, Dionne Warwick, Willie C. Carpenter, Sean Whalen, Barry Sonnenfeld, Tony Robbins, Siobhan Fallon Hogan, Verne Troyer, Carel Struycken, Norma Jean Groh, John Elsen","Barry Sonnenfeld","Donald Peterman","Lowell Cunningham, Ed Solomon","Walter F. Parkes, Laurie MacDonald, Steven Spielberg","Danny Elfman","7.3","626654.0","/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg"
"608","Men in Black II","6.4","9849.0","Released","2002-07-03","445100000.0","88.0","140000000.0","tt0120912","en","Men in Black II","Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.","33.077","Same planet. New scum.","Action, Comedy, Science Fiction","Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions","United States of America","English","William E. Jackson, Marty Belafsky, Bo Welch, Peter Spruyt, Chloe Sonnenfeld, Nick Cannon, Michael Beardsley, Mark Steger, David C. Roehm Sr., Hannah Sim, Michael Rivkin, Linda Kim, Martin Klebba, Doug Jones, Matthew McGrory, Patrick Warburton, Sean Rouse, Christopher Metas, Alexandra O'Hara, Kevin Grevioux, Michael Buonomo, John Andrew Berton Jr., Derek Cecil, Alpheus Merchant, Tony Shalhoub, Howard Spiegel, Kevin Cotteleer, Colombe Jacobsen-Derstine, Martha Stewart, Derek Mears, Michael Bailey Smith, Victoria Jones, Jack Kehler, Sid Hillman, Martin Pfefferkorn, Thom Fountain, Michael Jackson, John Richardson, Alan Tuskes, Stephanie Kemp, Barry Sonnenfeld, Will Smith, John D. Bair, John Alexander, David Cross, Peter Graves, Paige Brooks, Thomas Rosales Jr., Philip Goodwin, Jay Johnston, Tom Whitenight, Pete Macnamara, Leo Rogstad, Michael Garvey, Johnny Knoxville, Denise Cheshire, Rip Torn, Rick Baker, Richard Pearson, Greg Ballora, Brian Steele, Rosario Dawson, Sonny Tipton, Peter Spellos, Peter Siragusa, Rick Avery, Ned Gorman, Biz Markie, Shannon Watson, Andre Blair, Kristin Charney, Carl J. Johnson, Joel McKinnon Miller, Patrick Coleman Duncan, Lenny Venito, Michael Dahlen, David Patykewich, Lara Flynn Boyle, Tommy Lee Jones, Bart Mixon, Daniel Browning Smith, Mary Stein, Darrell Foster, Drew Massey, Gene LeBell, Brad Abrell, Jeremy Howard, Tim Blaney, Brandee Sanders, Ernie Grunwald","Barry Sonnenfeld","Greg Gardiner","Robert Gordon, Barry Fanaro, Lowell Cunningham","Laurie MacDonald, Walter F. Parkes, Steven Spielberg","Danny Elfman","6.2","411980.0","/enA22EPyzc2WQ1VVyY7zxresQQr.jpg"
"609","Poltergeist","7.146","2981.0","Released","1982-06-04","122200000.0","114.0","10700000.0","tt0084516","en","Poltergeist","Upon realizing that something truly evil haunts his home, Steve Freeling calls in a team of parapsychologists to help before it's too late.","27.884","They Are Here.","Horror","Metro-Goldwyn-Mayer, Steven Spielberg Productions, SLM Production Group","United States of America","English","Sonny Landham, JoBeth Williams, Beatrice Straight, Michael McManus, Dirk Blocker, Clair E. Leucart, Richard Lawson, Craig T. Nelson, James Karen, Zelda Rubinstein, Frank Welker, Dominique Dunne, Craig Simmons, Heather O'Rourke, Virginia Kiser, Robert Broyles, Allan Graf, Martin Casella, Joseph Walsh, William Vail, Helen Baron, Noel Conlon, Lou Perryman, Oliver Robins","Tobe Hooper","Matthew F. Leonetti","Mark Victor, Steven Spielberg, Michael Grais","Steven Spielberg, Frank Marshall","Jerry Goldsmith","7.3","185536.0","/4eMN3GANH5GG4kXdHkrTZEUuQ9M.jpg"
"612","Munich","7.2","2615.0","Released","2005-12-23","130982129.0","164.0","70000000.0","tt0408306","en","Munich","During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.","23.358","The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.","Drama, Action, History, Thriller","Universal Pictures, DreamWorks Pictures, Alliance Atlantis, Amblin Entertainment, The Kennedy/Marshall Company, Barry Mendel Productions","Canada, United States of America","العربية, Deutsch, ελληνικά, English, Français, עִבְרִית, Italiano, Pусский","Rad Lazar, Sonia Hell, Hanns Zischler, Stéphane Freiss, Danny Zahavi, Gil Soriano, Nabil Yajjou, Samuel Calderon, Joseph Sokolsky, Andreas Lust, Jonathan Avigdori, Rim Turki, Sam Feuer, Guy Zo-Aretz, Mouna Soualem, Souad Amidou, Igal Naor, Daniel Craig, Makram J. Khoury, Dianne Zaremba, Rana Werbin, Mahmoud Zemmouri, Dirar Suleiman, Lyes Salem, Charley Gilleran, Sarah Mennell, Habir Yahya, Martin Ontrop, Sasha Spielberg, Leda Mansour, Lemir Guerfa, Sharon Alexander, Fettouma Ousliha-Bouamari, Amos Shoov, Sabi Dorr, Joram Voelklein, Yossi Sagi-Bizawi, Moa Khouas, Jalil Naciri, Moritz Bleibtreu, Omar Mostafa, Laurence Février, Mehdi Nebbou, Amelia Jacob, Elyse Klaits, Mordechai Ben-Shachar, Geoffrey Rush, Ciarán Hinds, Amani Zain, Raffi Tavor, Karim Saidi, Yvan Attal, Hisham Suliman, Itay Barnea, Wojciech Machnicki, Gila Almagor, Moshe Ivgy, Sami Samir, Michael Schenk, Lisa Werlinder, Ori Pfeffer, Eric Bana, Abdelhafid Metalsi, Hicham Nazzal, Ziad Adwan, Tom Wlaschiha, Hiam Abbass, David A. Hamade, Lynn Cohen, Mathieu Amalric, Yaron Motola, Haguy Wigdor, Liron Levo, Mihalis Giannatos, María Casal, Brian Goodman, Kevin Collins, Ayelet Zurer, David Feldman, Oded Teomi, Félicité Du Jeu, Robert John Burke, Ula Tabari, Mostefa Djadjam, Richard Brake, Ossie Beck, Lili Bordán, Marie-Josée Croze, Ohad Knoller, Merik Tadros, Jonathan Uziel, Meret Becker, Valeria Bruni Tedeschi, Omar Metwally, Djemel Barek, Hagit Dasberg, Amrou Al-Kadhi, Baya Belal, Guy Amir, Nasser Memarzia, Jane Garioni, Shmuel Edelman, Farida Amrouche, Patrick Kennedy, Saïda Bekkouche, Yehuda Levi, Yonatan Rozen, Guri Weinberg, Lior Perel, Ben Youcef, Mathieu Kassovitz, Faruk Pruti, Renana Raz, Amos Lavi, Hichem Yacoubi, Karim Quayouh, Arturo Arribas, Jim McKay, Alexander Beyer, Michael Lonsdale, Karim Saleh, Mousa Kraish, Carim Messalti, Bijan Daneshmand, Daniel Bess, Ami Weinberg","Steven Spielberg","Janusz Kamiński","Eric Roth, Tony Kushner, George Jonas","Barry Mendel, Colin Wilson, Kathleen Kennedy, Steven Spielberg","John Williams","7.5","243299.0","/iUekaw96QLInZpsNwRTlRKrZgwm.jpg"
"613","Downfall","7.9","3810.0","Released","2004-09-16","92200000.0","155.0","16000000.0","tt0363163","de","Der Untergang","In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.","14.499","April 1945, a nation awaits its... Downfall","Drama, History, War","NDR, ORF, Degeto Film, EOS Entertainment, WDR, RAI, Constantin Film","Austria, Germany, Italy","Magyar, Deutsch, Pусский","Christian Berkel, Thomas Limpinsel, Ulrike Krumbiegel, Michael Brandner, Christian Schmidt, Elisabeth von Koch, Donevan Gunia, Martin Butzke, Valeriy Salomakhin, Ulrich Matthes, Heino Ferch, Mathias Gnädinger, Andrey Blagoslovenskiy, August Schmölzer, Corinna Harfouch, Enno Hesse, Justus von Dohnányi, Juliane Köhler, Matthias Habich, Thomas Kretschmann, Christian Hoening, Anna Thalbach, Julia Jentsch, Norbert Heckner, Igor Bubenchikov, Alexander Held, Devid Striesow, Dmitriy Bykovskiy-Romashov, Bohdan Graczyk, Bettina Redlich, Vsevolod Tsurilo, Henning Peker, Michael Mendl, Ulrich Noethen, Fabian Busch, Bruno Ganz, Christian Redl, Götz Otto, Jürgen Tonkel, Klaus-Jürgen Steinmann, Tanja Schleiff, Dieter Rupp, Birgit Minichmayr, Michael Kind, Katerina Poladjan, Dieter Mann, Oliver Stritzel, Veit Stübner, Alexandra Maria Lara, Igor Sergeev, Jurij Schrader, Thomas Thieme, Mariya Semyonova, André Hennicke, Konstantin Lukashov, Dirk Borchardt, Dietrich Hollinderbäumer, Karl Kranzkowski, Rolf Kanies, Elizaveta Boyarskaya, Stefan Mehren, Thorsten Krohn, Heinrich Schmieder","Oliver Hirschbiegel","Rainer Klausmann","Melissa Müller, Traudl Junge, Bernd Eichinger, Joachim Fest","Christine Rothe, Bernd Eichinger","Stephan Zacharias","8.2","381768.0","/cP1ElGjBhbZAAqmueXjHDKlSwiP.jpg"
"614","Wild Strawberries","8.1","1614.0","Released","1957-08-28","0.0","91.0","0.0","tt0050986","sv","Smultronstället","Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.","17.011","","Drama","SF Studios","Sweden","Latin, svenska","Maud Hansson, Gunnar Björnstrand, Åke Fridell, Ingrid Thulin, Peder Hellman, Folke Sundquist, Helge Wulff, Per Skogsberg, Eva Norée, Monica Ehrling, Yngve Nordwall, Vendela Rudbäck, Victor Sjöström, Ulf Johansson, Bibi Andersson, Ann-Marie Wiman, Jullan Kindahl, Sif Ruud, Björn Bjelfvenstam, Per Sjöstrand, Naima Wifstrand, Josef Norman, Gunnar Olsson, Harry Asklund, Göran Lundquist, Gertrud Fridh, Max von Sydow, Gio Petré, Erik Nordgren, Gunnar Sjöberg, Gunnel Lindblom, Lena Bergman, Gunnel Broström","Ingmar Bergman","Gunnar Fischer","Ingmar Bergman","Allan Ekelund","Göte Lovén, Erik Nordgren","8.1","117473.0","/iyTD2QnySNMPUPE3IedZQipSWfz.jpg"
"615","The Passion of the Christ","7.504","4552.0","Released","2004-02-25","612060372.0","127.0","30000000.0","tt0335345","en","The Passion of the Christ","A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.","73.109","By his wounds, we were healed.","Drama","Icon Productions","United States of America","עִבְרִית, Latin","Francesco De Vito, Luciano Federico, Francesco Cabras, Adel Bakri, Monica Bellucci, Evelina Meghnagi, Michelle Bonev, Hristo Shopov, Luca De Dominicis, Valerio Isidori, Paulo dos Santos, Arianna Vitolo, Ornella Giusto, Lucia Stara, Claudia Gerini, Maia Morgenstern, Giovanni Vettorazzo, Giovanni Capalbo, Nuot Arquint, Fabio Sartor, Maurizio Di Carmine, Tom Shaker, Luciano Dragone, Dario D'Ambrosi, Mattia Sbragia, Sheila Mokhtari, Valerio Esposito, Daniela Poti, Christo Jivkov, Ivan Gaudiano, Emilio De Marchi, Abraam Fontana, Emanuele Gullotto, Giuseppe Lo Console, Jim Caviezel, Pietro Sarubbi, Roberto Visconti, Noemi Marotta, Rossella Longo, Chokri Ben Zagden, Danilo Maria Valli, Sabrina Impacciatore, Roberto Santi, Aleksander Mincer, Angelo Di Loreta, Giacinto Ferro, Matt Patresi, Abel Jafri, Francis Dokyi, Jarreth J. Merz, Ted Rusoff, Nicola Tagarelli, Lino Salemme, Francesco Gabriele, Antonello Iacovone, Sergio Rubini, Gabriella Barbuti, Vincenzo Monti, Andrea Coppola, Federico Pacifici, Davide Marotta, Lucio Allocca, Romuald Kłos, Franco Costanzo, Lello Giulivo, Toni Bertorelli, Andrea Refuto, Roberto Bestazzoni, Adel Ben Ayed, Rosalinda Celentano, Danilo Di Ruzza, Francesco De Rosa, Domenico Capalbo, Luca Lionello, Paco Reconti","Mel Gibson","Caleb Deschanel","Mel Gibson, Benedict Fitzgerald","Mel Gibson, Stephen McEveety, Bruce Davey, Enzo Sisti","Gingger Shankar, John Debney","7.2","254543.0","/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg"
"616","The Last Samurai","7.6","6815.0","Released","2003-12-05","456800000.0","154.0","140000000.0","tt0325710","en","The Last Samurai","Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.","37.75","In the face of an enemy, in the heart of one man, lies the soul of a warrior.","Drama, Action, War","Warner Bros. Pictures, Radar Pictures, Bedford Falls Productions, Cruise/Wagner Productions","New Zealand, United States of America","English, 日本語","Timothy Spall, Hiroyuki Sanada, Mitsuyuki Oishi, Shinji Suzuki, Koji Fujii, John Koyama, Shichinosuke Nakamura, Chad Lindberg, Satoshi Nikaido, Kosaburo Nomura IV, Tom Cruise, Shintaro Wada, Lee Murayama, Billy Connolly, William Atherton, Seiji Morita, Takeru Shimizu, Jiro Wada, Hiroaki Amano, Ken Watanabe, Shoji Yoshihara, Makoto Hashiba, Shane Kosugi, Seizō Fukumoto, Takashi Noguchi, Koyuki, Ryoichi Noguchi, Shun Sugata, Masashi Odate, Aoi Minato, Kenta Daibo, Scott Wilson, Takeshi Maya, Togo Igawa, Sosuke Ikematsu, Masato Harada, Sven Toorvald, Hisao Takeda, Tony Goldwyn, Ray Godshall Sr., Shimpei Horinouchi, Ryoichiro Yonekura, Noguchi Takayuki, Yusuke Myochin, Yuki Matsuzaki, Shin Koyamada, Takashi Kora, Hiroshi Watanabe","Edward Zwick","John Toll","Marshall Herskovitz, Edward Zwick, John Logan","Tom Cruise, Marshall Herskovitz, Edward Zwick, Ted Field, Vincent Ward, Tom Engelman, Richard Solomon, Charles Mulvehill, Paula Wagner, Scott Kroopf","Hans Zimmer","7.8","480481.0","/lsasOSgYI85EHygtT5SvcxtZVYT.jpg"
"617","Wild Things","6.4","1720.0","Released","1998-03-20","67200000.0","115.0","20000000.0","tt0120890","en","Wild Things","When teen-socialite Kelly Van Ryan and troubled bad girl Suzie Toller accuse guidance counselor Sam Lombardo of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop suspects conspiracy, but nothing is what it seems...","23.672","They're dying to play with you.","Mystery, Thriller, Drama","Mandalay Entertainment, Columbia Pictures","United States of America","English","Nelson Oramas, Antoni Corone, Daphne Rubin-Vega, Michael Dean Walker, Jesse Muson, Manny Suárez, Janet Bushor, Ted Bartsch, Robert Deacon, Rebecca White, Carrie Snodgress, Neve Campbell, Matt Dillon, Laurie Wallace, Theresa Russell, Eduardo Yáñez, Jennifer Taylor, Cory Pendergast, Anthony Giaimo, Gina LaMarca, Nancy Duerr, Jeff Perry, Diane Adams, Denise Richards, Paulo Benedeti, Kimberly Lamaze, Margo Peace, Victoria Bass, Bill Murray, Marc Macaulay, Robert Wagner, Dennis Neal, Leonor Anthony, Keith Wilson, Toi Svane Stepp, Kevin Bacon","John McNaughton","Jeffrey L. Kimball","Stephen Peters","Kevin Bacon, Rodney Liber, Steven A. Jones","George S. Clinton","6.6","133933.0","/aaicreJBf7EuwGq3GgUV5ZedlfF.jpg"
"618","The Birth of a Nation","6.0","520.0","Released","1915-02-08","11000000.0","193.0","100000.0","tt0004972","en","The Birth of a Nation","Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch.","13.799","The Fiery Cross of the Ku Klux Klan!","Drama, History, War","Epoch Film Co.","United States of America","No Language","Miriam Cooper, George Beranger, Bob Burns, Elmo Lincoln, Violet Wilkey, Donald Crisp, Wallace Reid, David Butler, Sam De Grasse, Donna Montran, Walter Long, Betty Marsh, Madame Sul-Te-Wan, Mae Marsh, Spottiswoode Aitken, Leonore Cooper, Lillian Gish, Josephine Crowell, Jennie Lee, Mary Alden, Raoul Walsh, Henry B. Walthall, Elmer Clifton, Harry Braham, Joseph Henabery, William De Vaull, Howard Gaye, Monte Blue, Charles Eagle Eye, Jules White, John Ford, Willam Freeman, Alma Rubens, Robert Harron, Ralph Lewis, George Siegmann, Edward Burns, Peggy Cartwright, Dark Cloud, Edmund Burns, Maxfield Stanley, Tom Wilson, Alberta Lee, Eugene Pallette, Fred Burns, Charles Stevens, Olga Grey, Allan Sears","D.W. Griffith","Billy Bitzer, Joseph Carl Breil","Frank E. Woods, Thomas F. Dixon Jr., D.W. Griffith","H.E. Aitken, D.W. Griffith","Jon Mirsalis, D.W. Griffith","6.1","26866.0","/pNpOXpQI5GSUfiWypubYtMh9928.jpg"
"619","The Bodyguard","6.7","2925.0","Released","1992-11-25","411006740.0","129.0","25000000.0","tt0103855","en","The Bodyguard","A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.","35.556","Never let her out of your sight. Never let your guard down. Never fall in love.","Action, Drama, Romance","Kasdan Pictures, Tig Productions, Warner Bros. Pictures","United States of America","English","Ellin La Var, Whitney Houston, Shaun Earl, John Tesh, Ralph Waite, Joe Urla, DeVaughn Nixon, Gerry Bamman, Donald Hotton, Stephen Shellen, Shelley A. Hill, Ethel Ayler, Towanna King, Joe Hess, Rob Sullivan, Linda Thompson, Damon Stout, Phil Redrow, Michele Lamar Richards, Tracye Logan, Robert Wuhl, Patricia Healy, Tony Burrer, Nathaniel Parker, Joe Unger, Mike Starr, David M. Morano, Carla Lizzette Mejia, Dan Koko, Nita Whitaker, Abbey Vine, Chris Connelly, Art Spaan, Bill Cobbs, Joseph Zabrosky, Amy Lou Dempsey, Rosie Lee Hooks, Marta Velasco, Jorga Caye, Kevin Costner, Tony Pierce, Jennifer Lyon-Buchanan, Robert L. Feist, Charles Bazaldua, Bruce Holman, Tomas Arana, Sean Cheesman, Victoria Bass, Rollin Jarrett, Charles Keating, Gary Kemp, Gwen Seliger, Michael George, Mark Thomason, Douglas Price, Ken Myles, Debbie Reynolds, Danny Kamin, Blumen Young, David Joseph Martinez, Pat Poole, Richard Schiff, David Foster, Christopher Birt, Bert Remsen, Susan Traylor","Mick Jackson","Andrew Dunn","Lawrence Kasdan","Kevin Costner, Jim Wilson, Lawrence Kasdan","Allan Dennis Rich, Alan Silvestri","6.4","151099.0","/ihWF0uY1xnKqw9YK7ZHNLUZOhcO.jpg"
